City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,kavaratti,10.5669,72.642,302.29,72,100,3.75,IN,1682775449
257,wenling,28.3669,121.36,286.05,86,100,6.05,CN,1682776034
258,bokhan,53.153,103.7714,281.25,90,100,2.21,RU,1682776035
259,new norfolk,-42.7826,147.0587,283.87,58,10,0.45,AU,1682776036
260,westport,41.1415,-73.3579,284.17,87,100,10.8,US,1682775327
261,sao joao da barra,-21.6403,-41.0511,299.2,82,100,3.21,BR,1682776037
262,mount gambier,-37.8333,140.7667,281.47,83,8,2.35,AU,1682776038
263,howard springs,-12.497,131.047,300.1,92,64,1.29,AU,1682776038
264,bonny,4.4522,7.1681,302.92,66,91,4.43,NG,1682776039
265,aykhal,66.0,111.5,271.42,98,100,7.58,RU,1682776039
266,galle,6.0367,80.217,299.71,82,100,2.11,LK,1682776040
267,punta arenas,-53.15,-70.9167,277.21,75,75,6.69,CL,1682776038
268,maneromango,-7.1988,38.7848,294.99,96,100,3.49,TZ,1682776042
269,nacala,-14.5428,40.6728,301.77,73,40,4.59,MZ,1682776043
270,takaungu,-3.6837,39.8566,299.42,76,100,7.42,KE,1682776044
271,tura,25.5198,90.2201,295.86,68,21,2.09,IN,1682776044
272,minas de marcona,-15.2119,-75.1103,291.65,74,98,5.46,PE,1682776045
273,ghadamis,30.1337,9.5007,308.53,9,2,5.29,LY,1682776046
274,nyurba,63.2842,118.3319,271.64,97,23,2.52,RU,1682776047
275,navirai,-23.065,-54.1906,295.63,72,0,3.15,BR,1682775835
276,chancay,-11.5714,-77.2672,296.38,81,100,2.69,PE,1682776048
277,isafjordur,66.0755,-23.124,273.17,47,0,5.66,IS,1682776049
278,richards bay,-28.783,32.0377,297.27,82,86,6.39,ZA,1682776049
279,rawson,-43.3002,-65.1023,292.02,35,0,11.82,AR,1682776050
280,sucre,-19.0333,-65.2627,291.43,43,0,1.48,BO,1682776050
281,veraval,20.9,70.3667,300.54,70,0,4.53,IN,1682776051
282,hami,42.8,93.45,294.19,10,36,0.09,CN,1682776051
283,broseley,52.6132,-2.4827,290.73,72,75,2.06,GB,1682776052
284,"laikit, laikit ii (dimembe)",1.4792,124.9735,295.62,100,20,0.51,ID,1682776053
285,mathba,22.2855,89.9629,301.51,66,74,2.61,BD,1682776054
286,vydrino,51.485,104.8461,275.59,95,93,1.54,RU,1682776054
287,manggar,-2.8833,108.2667,300.26,80,100,0.39,ID,1682776055
288,muroto-misakicho,33.2833,134.15,293.42,93,100,9.19,JP,1682776055
289,whitby,54.4877,-0.615,284.26,89,100,0.45,GB,1682776056
290,puerto baquerizo moreno,-0.9,-89.6,299.47,78,100,1.42,EC,1682776056
291,georgetown,5.4112,100.3354,302.11,94,40,3.6,MY,1682776012
292,port hedland,-20.3167,118.5667,297.18,29,42,4.63,AU,1682776051
293,mozarlandia,-14.7447,-50.5706,304.05,52,0,0.84,BR,1682776059
294,urangan,-25.3,152.9,294.85,84,100,4.67,AU,1682776060
295,koani,-6.1333,39.2833,301.94,74,75,7.72,TZ,1682776060
296,burang,30.25,81.1667,273.73,94,100,1.89,CN,1682776061
297,sidney,-33.8679,151.2073,288.5,92,75,9.26,AU,1682775983
298,boden,65.8252,21.6886,276.15,99,99,1.36,SE,1682776062
299,inhambane,-23.865,35.3833,302.14,58,20,3.13,MZ,1682776062
300,galliano,29.4422,-90.2992,293.15,88,0,2.06,US,1682776063
301,lauro de freitas,-12.8944,-38.3272,303.16,70,40,3.09,BR,1682776064
302,salinopolis,-0.6136,-47.3561,301.01,80,100,4.7,BR,1682775814
303,sandnessjoen,66.0217,12.6316,281.44,42,20,2.57,NO,1682776066
304,honggang,46.4667,124.8667,280.92,74,100,7.66,CN,1682776067
305,krasnoturansk,54.3186,91.5639,280.72,63,70,3.36,RU,1682776067
306,labytnangi,66.6572,66.4183,268.4,84,74,3.3,RU,1682776068
